what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1452724783997
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1452724783997
os,sysinfo,,,"linux",1452724783999
arch,sysinfo,,,"x86",1452724783999
ws,sysinfo,,,"gtk",1452724783999
locale,sysinfo,,,"zh_CN",1452724783999
processors,sysinfo,,,"2",1452724783999
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1452724783999
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1452724783999
java.specification.name,sysinfo,,,"Java Platform API Specification",1452724783999
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1452724783999
java.specification.version,sysinfo,,,"1.6",1452724783999
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1452724783999
java.version,sysinfo,,,"1.6.0_24",1452724783999
java.vm.info,sysinfo,,,"mixed mode",1452724783999
java.vm.name,sysinfo,,,"OpenJDK Client VM",1452724783999
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1452724783999
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1452724783999
java.vm.specification.version,sysinfo,,,"1.0",1452724783999
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1452724783999
java.vm.version,sysinfo,,,"20.0-b12",1452724783999
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452724814611
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452724819673
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452724822487
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452724946603
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452724947993
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452724996266
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1452725000456
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452725000792
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1452725046348
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1452725046456
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452725046692
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1452725046972
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAutomatically",1452725071396
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1452725103132
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1452725112743
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1452725112786
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1452725112789
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452725128408
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1452725132653
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452725132667
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1452725141002
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1452725146613
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1452725172983
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452725174348
