what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed command: monitor MemU32 0x71200014  =  0x00000000",1452747521260
error,log,,,"Failed command: monitor MemU32 0x71300014  =  0x00000000",1452747521364
error,log,,,"Failed command: monitor MemU32 0x7120000C  =  0x00000000",1452747521468
error,log,,,"Failed command: monitor MemU32 0x7130000C  =  0x00000000",1452747521570
error,log,,,"Failed command: monitor MemU32 0x71200F00  =  0x00000000",1452747521673
error,log,,,"Failed command: monitor MemU32 0x71300F00  =  0x00000000",1452747521775
error,log,,,"Failed command: monitor MemU32 0x7e00f900  =  0x0000801e",1452747521878
error,log,,,"Failed command: monitor MemU32 0x7e00f000  =  0x0000ffff",1452747521980
error,log,,,"Failed command: monitor MemU32 0x7e00f004  =  0x0000ffff",1452747522082
error,log,,,"Failed command: monitor MemU32 0x7e00f020  =  0x01043310",1452747522185
error,log,,,"Failed command: monitor MemU32 0x7e00f00C  =  0xc2150601",1452747522288
error,log,,,"Failed command: monitor MemU32 0x7e00f010  =  0xc2150601",1452747522390
error,log,,,"Failed command: monitor MemU32 0x7e00f024  =  0x00000003",1452747522492
error,log,,,"Failed command: monitor MemU32 0x7e00f014  =  0x00200102",1452747522595
error,log,,,"Failed command: monitor MemU32 0x7e00f018  =  0x00000000",1452747522698
error,log,,,"Failed command: monitor MemU32 0x7e00f01C  =  0x14000007",1452747522800
error,log,,,"Failed command: monitor MemU32 0x7e00f120  =  0x00000008",1452747522902
error,log,,,"Failed command: monitor MemU32 0x7e001004  =  0x00000004",1452747523005
error,log,,,"Failed command: monitor MemU32 0x7e001010  =  0x0000040f",1452747523107
error,log,,,"Failed command: monitor MemU32 0x7e001014  =  0x00000006",1452747523210
error,log,,,"Failed command: monitor MemU32 0x7e001018  =  0x00000001",1452747523313
error,log,,,"Failed command: monitor MemU32 0x7e00101c  =  0x00000002",1452747523416
error,log,,,"Failed command: monitor MemU32 0x7e001020  =  0x00000006",1452747523542
error,log,,,"Failed command: monitor MemU32 0x7e001024  =  0x0000000a",1452747523646
error,log,,,"Failed command: monitor MemU32 0x7e001028  =  0x0000000c",1452747523747
error,log,,,"Failed command: monitor MemU32 0x7e00102c  =  0x0000018f",1452747523853
error,log,,,"Failed command: monitor MemU32 0x7e001030  =  0x0000000c",1452747523955
error,log,,,"Failed command: monitor MemU32 0x7e001034  =  0x00000002",1452747524058
error,log,,,"Failed command: monitor MemU32 0x7e001038  =  0x00000002",1452747524163
error,log,,,"Failed command: monitor MemU32 0x7e00103c  =  0x00000002",1452747524268
error,log,,,"Failed command: monitor MemU32 0x7e001040  =  0x00000002",1452747524370
error,log,,,"Failed command: monitor MemU32 0x7e001044  =  0x00000013",1452747524473
error,log,,,"Failed command: monitor MemU32 0x7e001048  =  0x00000013",1452747524575
error,log,,,"Failed command: monitor MemU32 0x7e00100C  =  0x00010012",1452747524677
error,log,,,"Failed command: monitor MemU32 0x7e00104C  =  0x00000b45",1452747524780
error,log,,,"Failed command: monitor MemU32 0x7e001200  =  0x000150f8",1452747524882
error,log,,,"Failed command: monitor MemU32 0x7e001304  =  0x00000000",1452747524985
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x000c0000",1452747525087
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x00000000",1452747525190
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x00040000",1452747525292
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x00040000",1452747525395
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x000a0000",1452747525498
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x00080032",1452747525600
error,log,,,"Failed command: monitor MemU32 0x7e001004  =  0x00000000",1452747525702
error,log,,,"Failed command: monitor speed 12000",1452747526010
error,log,,,"Failed command: load",1452747526215
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1452747527623
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452747537066
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452747557468
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1452747566505
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1452747566983
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1452747566998
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1452747567088
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452747580521
started,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1452747587007
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1452747587045
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1452747587111
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1452747587158
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452747587188
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.BreakpointView",1452747587447
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.MemoryView",1452747587491
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.RegisterView",1452747587516
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.ModuleView",1452747587542
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452747597053
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452747598361
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452747599273
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452747611680
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1452748102101
closed,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.MemoryView",1452748109318
closed,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.RegisterView",1452748109356
closed,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.ModuleView",1452748109369
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452748148789
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452748152021
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452748154269
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452748155810
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1452748155983
stopped,bundle,com.zylin.embeddedcdt,4.18.1,"com.zylin.embeddedcdt",1452748156041
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1452748156041
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1452748156041
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1452748156041
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1452748156042
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1452748156042
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1452748156042
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201102110609,"org.eclipse.cdt.gdb.ui",1452748156043
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1452748156043
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1452748156043
