what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"linux",1453086163892
arch,sysinfo,,,"x86",1453086163892
ws,sysinfo,,,"gtk",1453086163892
locale,sysinfo,,,"zh_CN",1453086163892
processors,sysinfo,,,"2",1453086163892
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1453086163892
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1453086163892
java.specification.name,sysinfo,,,"Java Platform API Specification",1453086163892
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1453086163892
java.specification.version,sysinfo,,,"1.6",1453086163892
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1453086163892
java.version,sysinfo,,,"1.6.0_24",1453086163892
java.vm.info,sysinfo,,,"mixed mode",1453086163892
java.vm.name,sysinfo,,,"OpenJDK Client VM",1453086163892
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1453086163892
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1453086163892
java.vm.specification.version,sysinfo,,,"1.0",1453086163892
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1453086163892
java.vm.version,sysinfo,,,"20.0-b12",1453086163892
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453086164408
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453086170208
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453086171885
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1453086172070
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1453086172301
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1453086172306
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1453086573206
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1453086573207
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1453086573207
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1453086573208
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1453086573208
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1453086573208
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1453086573208
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1453086573209
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1453086573210
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1453086573211
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1453086573211
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1453086573221
