what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"linux",1453086794498
arch,sysinfo,,,"x86",1453086794498
ws,sysinfo,,,"gtk",1453086794498
locale,sysinfo,,,"zh_CN",1453086794498
processors,sysinfo,,,"2",1453086794498
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1453086794498
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1453086794498
java.specification.name,sysinfo,,,"Java Platform API Specification",1453086794498
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1453086794498
java.specification.version,sysinfo,,,"1.6",1453086794498
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1453086794498
java.version,sysinfo,,,"1.6.0_24",1453086794498
java.vm.info,sysinfo,,,"mixed mode",1453086794498
java.vm.name,sysinfo,,,"OpenJDK Client VM",1453086794498
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1453086794498
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1453086794498
java.vm.specification.version,sysinfo,,,"1.0",1453086794498
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1453086794498
java.vm.version,sysinfo,,,"20.0-b12",1453086794498
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1453086796890
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453086799287
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453086800599
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453086802843
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453086803866
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1453086805788
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1453086807023
started,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1453086807025
started,bundle,com.zylin.embeddedcdt,4.18.1,"com.zylin.embeddedcdt",1453086807026
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1453086807040
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1453086808236
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1453086808254
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1453086808257
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1453086808258
error,log,,,"Failed command: target remote localhost:2331",1453086822929
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1453086822966
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1453086822970
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453086822991
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453086822992
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453086823002
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453086823004
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453086823011
error,log,,,"Failed command: monitor endian little",1453086823030
error,log,,,"Failed command: monitor speed 30",1453086823132
error,log,,,"Failed command: monitor reset",1453086823234
error,log,,,"Failed command: monitor sleep 10",1453086823336
error,log,,,"Failed command: monitor reg cpsr = 0xd3",1453086823438
error,log,,,"Failed command: monitor cp15 7, 7, 0, 0 = 0x0",1453086823541
error,log,,,"Failed command: monitor cp15 8, 7, 0, 0 = 0x0",1453086823680
error,log,,,"Failed command: monitor cp15 1, 0, 0, 0 =0x1002",1453086823782
error,log,,,"Failed command: monitor cp15 15, 2, 0, 4 = 0x70000013",1453086823885
error,log,,,"Failed command: monitor MemU32 0x7e004000  =  0x00000000",1453086823987
error,log,,,"Failed command: monitor sleep 10",1453086824089
error,log,,,"Failed command: monitor MemU32 0x71200014  =  0x00000000",1453086824191
error,log,,,"Failed command: monitor MemU32 0x71300014  =  0x00000000",1453086824292
error,log,,,"Failed command: monitor MemU32 0x7120000C  =  0x00000000",1453086824395
error,log,,,"Failed command: monitor MemU32 0x7130000C  =  0x00000000",1453086824497
error,log,,,"Failed command: monitor MemU32 0x71200F00  =  0x00000000",1453086824599
error,log,,,"Failed command: monitor MemU32 0x71300F00  =  0x00000000",1453086824701
error,log,,,"Failed command: monitor MemU32 0x7e00f900  =  0x0000801e",1453086824803
